userName,content,score,at,appVersion,sentiment,processed_content
Bayu Aji,Aplikasi sangant bermanfaat,5,2022-08-22 03:06:40,4.49.2,positive,aplikasi sangant manfaat
Eka Nur Laily,sekarang gk bisa pake dua promo gk kyk dulu,4,2023-01-05 06:19:05,4.56.1,positive,pake promo kyk
Panam Wibisono,Mantap,5,2023-12-10 14:09:03,4.79.2,positive,mantap
Eliya Eliya,Bagus dan berguna,4,2022-03-25 02:52:39,4.24.2,positive,bagus guna
Jelita Angelyiska,ok,5,2024-01-22 04:46:08,4.81.1,positive,ok
Diko Motor,Bagus,5,2022-12-07 18:44:54,4.49.2,positive,bagus
Sukarno,Pelayanan sangat baik,5,2022-03-31 10:00:35,4.40.1,positive,layan
VERRA PRASTIKA,Sangat membantu saat dibutuhkan,5,2021-12-11 12:21:42,4.33.1,positive,bantu butuh
mut takin,Membantu banget,5,2022-03-27 23:16:37,4.36.1,positive,bantu banget
Dina Nisa,Mantap,5,2022-08-10 05:04:04,4.48.1,positive,mantap
lkp golden star padaherang,Siap mantap,5,2022-02-20 00:27:32,4.37.1,positive,mantap
بي ابن مريم,Oke bangetttt,5,2021-11-15 12:31:21,4.22.1,positive,oke bangetttt
Agniliana 28,Banyakin promo lgii,4,2023-09-27 16:28:40,4.75.1,positive,banyakin promo lgii
dewimuspati oline,Mantap,5,2021-12-06 14:38:30,4.33.1,positive,mantap
Dayu Aryabagus,Biaya layanan lumayan mahaldr gofoodblm gosend,1,2023-10-13 07:56:44,4.76.2,negative,biaya layan lumayan mahaldr gofoodblm gosend
Enny Santosa,Tepat waktu,5,2021-12-12 03:12:43,4.33.1,positive,waktu
Yayun Yayun,Siiiip,4,2021-11-26 06:04:51,4.32.1,positive,siiiip
gareng bagong,Mantap,5,2023-07-20 07:29:24,4.70.1,positive,mantap
Agung Riyanto,Oke,5,2023-02-03 11:09:03,4.60.1,positive,oke
Oming Astini,Gojek skarang mahal Udah mahal klo pas lgi buru2 ga dpt2 lgi,1,2023-05-05 05:10:57,4.65.1,negative,gojek skarang mahal mahal pas buru dpt
Prayit Tembor,Mantap,5,2022-07-09 13:21:16,4.45.1,positive,mantap
Anton Aant,Susah banget mau pake gopaypinjam ga bisa di klikgopay later jga sama,1,2023-08-16 14:52:47,4.24.2,negative,susah banget pake gopaypinjam klikgopay later jga
christi ningsih,OKeee semuaaa,5,2022-07-04 11:03:06,4.46.2,positive,okeee semuaaa
Dimas Arya Juna,tambahkan metode pembayaran lewat pulsa untuk top up saldo gopay,3,2021-12-12 06:25:03,4.33.1,positive,tambah metode bayar pulsa top up saldo gopay
Par Lan,Lebih mantap paki gojek,5,2024-01-22 20:46:35,4.81.2,positive,mantap paki gojek
Hendri Lesmana,Mantuuuuullll,5,2023-08-14 02:56:54,4.72.1,positive,mantuuuuullll
Ida Farida,Terbaik ,5,2022-02-25 14:24:23,4.20.1,positive,baik
Hendi Purnomo,ak update malah gak bisa di buka kenapa,5,2024-01-27 12:16:15,4.81.2,positive,ak update buka
Rizka O,makin lama bukannya makin membantu malah makin nyusahin dan makin bodoh aja nih aplikasi maps nya ga sesuai titik gak akurat padahal GPS udah nyala ga ada niat baik buat memperbaiki aplikasi apa giliran naikin harga nomor 1 kualitas kacau EH YANG TERUPDATE MALAH MAKIN PARAH SEMUA TITIK MAPS NYA GA TERDETEKSI udah mau bangkrut atau gimana,1,2023-12-11 10:46:11,4.79.2,negative,bantu nyusahin bodoh aja nih aplikasi maps sesuai titik akurat gps nyala niat baik aplikasi gilir naikin harga nomor kualitas kacau eh terupdate parah titik maps deteksi bangkrut gimana
Rana Hendra,Dengan sistem skrg driver banyak yg sengsara,5,2022-11-27 06:11:51,4.47.1,positive,sistem skrg driver sengsara
Penty Eka,Jol,1,2023-09-29 05:46:57,4.75.1,negative,jol
erland dream,Mantapz sangat membantu,5,2021-12-06 02:32:25,4.33.1,positive,mantapz bantu
The OneEyes,Gua pribadi gak masalah harga mahal atau apa Asal driver nya sopan baik ramah Mantap gojek SOP untuk driver nya saya acungin jempol,5,2022-03-03 04:47:05,4.36.1,positive,gua pribadi harga mahal driver sopan ramah mantap gojek sop driver acungin jempol
Yan Piether,Aplikasi tranportasi tergoblok dalam sejara manusia adalah gojek,1,2022-11-28 15:12:19,4.56.1,negative,aplikasi tranportasi goblok jara manusia gojek
Wisnu Wijoyo,Lancar,4,2022-07-14 23:01:46,4.46.2,positive,lancar
bayu tri,Terimakasih gojek sangat memmbatu sekali,5,2022-06-08 18:47:28,4.45.1,positive,terimakasih gojek memmbatu
Avit Widayanto,Ok,5,2022-02-10 22:30:16,4.36.1,positive,ok
Bilal Ramadhan,Diskon nya banyakin,5,2023-10-08 16:02:19,4.75.1,positive,diskon banyakin
moch rifai,Aplikasi yg bagus dan mudah untuk digunakan,5,2021-12-25 06:04:42,4.34.1,positive,aplikasi bagus mudah
Riri Mardhova,Kecewa bgt sama drivernya Cek hp saya gatau nya untuk rating dia sendiri Sangat kecewa,1,2022-06-08 16:21:46,4.39.2,negative,kecewa banget drivernya cek hp gatau rating kecewa
Erganigandi Gandiergani,bagus,5,2023-11-23 08:36:19,4.78.3,positive,bagus
Astari Putri,Very good,5,2023-01-06 10:33:44,4.58.1,positive,very good
Naser Bakri,bagus dan membantu,5,2022-02-21 13:51:16,4.36.1,positive,bagus bantu
Isman Djalil,Tetap pertahankan performance,5,2022-11-18 07:54:59,4.54.2,positive,tahan performance
Bang Wayyy,Aplikasi terbaik ,5,2022-02-04 22:02:58,4.36.1,positive,aplikasi baik
cn pro,memuaskan,5,2022-03-03 08:13:03,4.36.1,positive,muas
We Run To smile,Ok,4,2022-03-21 14:25:06,4.39.2,positive,ok
Salwa Syivana Nuraisah,gojek makin lama makin buruk tiap update bukannya makin bagus malah makin gk jelas,1,2024-01-22 22:15:08,4.81.2,negative,gojek buruk update bagus
TIMORRECH channel,Hari qbiasa ajh mahal apa lagi baru hbis hujan 2x lipat harganya,1,2021-11-12 12:10:10,4.31.1,negative,qbiasa ajh mahal hbis hujan lipat harga
Mita Mimi,Sangat kecewa sekali dengan apk gojek yg paylaternya Padahal sangat membantu sekali walaupun jatuh tempo nya hanya sebulan Setelah upgrade malah ga disetujui gojek paylaternya Harusnya pengguna baru tuh yg ga disetujui jgn pengguna lama Knp siik sistem nya ga lgsg ajah terupgrade kita tinggal meneruskan data2 yg kurang ajah Jgn kaya pengajuan baru lagi Mohon rating bintang saya turunin jadi 1 Tolong ditelaah lagi Atau ada solusi lain atas permasalahan inih,1,2023-09-01 11:17:14,4.73.1,negative,kecewa apk gojek paylaternya bantu jatuh tempo bulan upgrade tuju gojek paylaternya guna tuh tuju guna siik sistem ajah terupgrade tinggal terus data ajah kaya aju rating bintang turunin tolong telaah solusi masalah inih
Sulastri Lastri,Top dah,5,2021-12-16 04:40:24,4.31.1,positive,top
Ardiyanti Wijaya,Senang,5,2022-10-29 00:20:08,4.54.2,positive,senang
SUDANDI,Jadi customer udah pengen juga sii bisa jadi driver Itung2 isi waktu luang biar ga sia,5,2022-08-03 16:51:40,4.48.1,positive,customer ken sii driver itung isi waktu luang biar sia
Sri Sularko,Pengantaran cepat tepat waktu driver ramah,5,2022-01-03 10:04:59,4.34.1,positive,antar cepat waktu driver ramah
Sri Handarwati,Selama ngungunakan gojek puas drifer baik,5,2022-02-28 02:07:00,4.37.2,positive,ngungunakan gojek puas drifer
Kayla Kayla,Sangat membantu sekali Pokoknya mantep pakai gojeg Semoga kedepannya semakin dan makin baik lagi,5,2022-05-22 10:35:07,4.41.1,positive,bantu pokok mantep pakai gojeg moga depan
dhal doel,Mantap,5,2022-08-10 01:53:49,4.48.1,positive,mantap
Musthafa Arkan,Asli error banget Malah gak visa dipake di sini,1,2022-11-25 22:58:04,4.56.1,negative,asli error banget visa dipake
erwin wiraya,Josssmantap,5,2021-11-18 04:41:24,4.31.1,positive,josssmantap
Jia li Asyifa,ga lagi pake aplikasi ini dah pesen gofood ada minuman sama makanan yg ilang udah nunggu lama pesanan saya banyak yg ilang lagi dari nya laper jadi badmood parah nihh apps ga bgt dh,1,2024-01-07 11:44:44,4.72.1,negative,pake aplikasi sen gofood minum makan ilang nunggu pesan ilang laper badmood parah nihh apps banget
Adrian Mirza Dinata,Knapa gojek Goridegocar untuk didaerah jawa tengah susah sekali Apa lagi kalo udah di atas jam 11 malam pasti gx ada yv mau ambil sewa,4,2021-12-01 17:25:22,4.32.1,positive,knapa gojek goridegocar daerah jawa tengah susah jam malam gx yv ambil sewa
Alfruits Pusat,Good app supeeeer,5,2022-03-26 02:37:39,4.40.1,positive,good app supeeeer
Farel Fadillah,Harga pertripnya sangat terjangkaumakasih,5,2022-08-27 11:21:31,4.49.2,positive,harga trip terjangkaumakasih
Puji astuty Astuty,Ok,4,2022-09-30 00:33:13,4.52.2,positive,ok
Ryo S,Buat transfer okbuat isi pulsa parahmubazir duit kalian,2,2022-04-12 05:50:06,4.40.1,negative,transfer okbuat isi pulsa parahmubazir duit
Cantika Meghan,Aplikasi aneh kita pakai gopaylatter selalu bayar tepat waktu tidak pernah telat sama sekali Kok di blokir gopaylatter kn pemakaian sesuai limit,1,2022-10-10 14:53:13,4.53.1,negative,aplikasi aneh pakai gopaylatter bayar waktu telat blokir gopaylatter kn pakai sesuai limit
Armi Nanda,Mantap,5,2022-01-01 09:54:19,4.31.1,positive,mantap
Aji Binaji,Pemesanan cepat,5,2021-12-09 13:54:18,4.33.1,positive,mesan cepat
Jm Ihza Mahendra,Layanan Bantuan tidak mendukung dengan baik Biaya payleter yang tertulis di perjanjian adalah 2000 rupiah tapi yang di tagih 35000  mengecewakan,1,2022-09-09 05:49:41,4.51.1,negative,layan bantu dukung biaya payleter tulis janji rupiah tagih kecewa
Hery Aviqa,setiap sya order dpet drivernya jauh2 mulu kga pernah dket,1,2023-05-03 23:14:40,4.66.1,negative,sya order dpet drivernya mulu kga dket
Ahmad Baday,Terima kasih good job,5,2022-03-25 11:17:54,4.37.2,positive,terima kasih good job
Resti Rizki,Mantullll,5,2022-03-28 05:55:18,4.36.1,positive,mantullll
M SKILL Gorontalo,Tertolong,5,2021-11-16 15:16:06,4.32.1,positive,tolong
ellyana gunawan,Sangat membantu disaat yang tepat,5,2023-01-02 02:24:10,4.48.1,positive,bantu saat
evans jhon,Good,5,2022-03-01 13:29:17,4.34.1,positive,good
Panji Prasetya,Payah sekarang gopay udah tidak tersedia lagi fitur transfer ke eWallet atau rekening,2,2023-04-07 15:12:16,4.64.2,negative,payah gopay sedia fitur transfer ewallet rekening
Idris Giean,Mantap,5,2022-07-07 05:06:48,4.46.2,positive,mantap
Muh Fakhruddin,Bisa tepat waktu,5,2023-07-14 01:16:16,4.69.3,positive,waktu
D'yo Wiralodra,Mahal di kostumer murah ke driver komisi 20  4k terlalu rakus,1,2023-05-05 15:02:04,4.66.1,negative,mahal kostumer murah driver komisi rakus
Diando,Cukup membantu,5,2022-01-14 07:00:31,4.34.1,positive,bantu
Lizna Mulia,Jadi mudah mau kemana ajamau makan apamau kirim apa pokoknya toplah,5,2023-04-15 07:53:36,4.65.2,positive,mudah mana ajamau makan apamau kirim pokok top
Rochi AdiPraja,mo cekout tokopediamalah disuruh aktifin gopey latterpadahalniat mo bayar pake yg laenterpaksa aktifin srkalian mo nikmatin manfaat nyalah taunya ngapa di tolak teruspayahhhgk jelasauk ah elapppkezzellllllll,2,2022-03-04 15:18:03,4.38.2,negative,cekout tokopediamalah suruh aktifin gopey latterpadahalniat bayar pake laenterpaksa aktifin srkalian nikmatin manfaat nyalah tau ngapa tolak teruspayahhhgk jelasauk ah elapppkezzellllllll
Latifah Nurhayati,Sangat membatu di saat sangat dibutuhkan tertolong dengan go pay latet,5,2022-03-26 03:07:24,4.36.1,positive,batu butuh tolong go pay latet
Gambu Sika,Login susah pake link sms segala sdgkn SIM card gojek ada di HP satunya yg bkn android jd ribet harus pasang kartu ke HP buat buka gojek Jd SIM card gak boleh hilanghangusganti kartu pasti ribet Sebaiknya gojek buat login tuh pakai sandiotpverifiy Wajah Smntara saya kasih bintang 1 kalau udah ada verify login otpface id saya tambahi bintang nya thx,1,2022-08-21 02:47:00,4.49.2,negative,login susah pake link sms sdgkn sim card gojek hp satu bkn android ribet pasang kartu hp buka gojek sim card hilanghangusganti kartu ribet gojek login tuh pakai sandiotpverifiy wajah smntara kasih bintang verify login otpface id tambah bintang thx
Juhana Thea,Sip lah najan kadang jalan sorangan Untung stok gopay ayaan Janten teu rewas hehe,5,2023-01-10 16:14:25,4.58.1,positive,sip najan kadang jalan sorang untung stok gopay ayaan janten teu rewas haha
Budi Heryanto,Solusi yg efektif ,5,2022-04-29 09:59:44,4.39.2,positive,solusi efektif
Mr Blue Dendy,puas,5,2024-01-27 09:25:15,4.81.2,positive,puas
Ramdhan Mardiansah,Overall bagus cuman bagian ketika hujan harga naik drastis Banget banget nya tuh sampe gk manusiawi 600 meter doang bisa sampe 20rb ongkir nya,4,2022-05-11 01:05:22,4.43.1,positive,overall bagus cuman hujan harga drastis banget banget tuh sampe manusiawi meter doang sampe rb ongkir
Fazli Rachman,Pengalaman saya sangat bagus,5,2023-05-21 15:00:47,4.66.1,positive,alam bagus
Fachrurroji,Top markotop,5,2022-03-31 11:14:30,4.38.1,positive,top markotop
Danu pangestu,Udah nyelesain Event mision reward gak masukUdah di chat cs gojek nya lama,1,2022-08-04 02:38:20,4.48.1,negative,nyelesain event mision reward masukudah chat cs gojek
Janto Gunawan,very Good,5,2023-03-08 06:51:56,4.62.2,positive,very good
Desti Kencana,Mantapp,5,2022-11-14 07:53:49,4.53.1,positive,mantapp
Dodi Eka prasetyo,Banyak ojol yang arogan di jalan,1,2023-08-16 09:54:22,4.72.1,negative,ojol arogan jalan
Udi Suryadi,Mantul,5,2022-06-11 01:58:15,4.38.2,positive,mantul
Madana,Apl ini bagus buat nganter saya pulangberangkat tapi sayang Ga ada pay method lewat OVO saya kecewa ga bisa bayar pake OVO ,3,2022-11-26 08:12:45,4.51.1,neutral,apl bagus nganter pulangberangkat sayang pay method ovo kecewa bayar pake ovo
ricky ajiputro,Mantap,5,2021-12-19 03:31:26,4.32.1,positive,mantap
eka purba rani,Server sedang sibuk mulu chat driver kadang ga ada notif masuk loading nya bisa buat umroh 3 kali baru kelar Sampah,1,2022-02-04 16:34:54,4.36.1,negative,server sibuk mulu chat driver kadang notif loading umroh kelar sampah
Miarti Yarti,Sangat membantu di saat buru,5,2023-07-30 03:20:11,4.71.2,positive,bantu buru
Yoyok Arif,Cepat dan ramah,4,2022-04-16 06:00:58,4.40.1,positive,cepat ramah
Anastasia Arie,Pengemudinya sopan n sabar,5,2023-04-11 01:01:01,4.65.2,positive,mud sopan sabar
Nur Irfan Pangestu,Semenjak ada feature pilihan gofood lebih cepat pilih yg hemat sampainya lama banget Kalau mau dapet cuan nggak usah begini juga kali Naikin aja harganya dari pada nunggu lama kaya begini,1,2023-03-14 13:36:20,4.63.2,negative,semenjak feature pilih gofood cepat pilih hemat sampai banget dapet cuan naikin aja harga nunggu kaya
seanjigme pangaribuan,Diskon ongkir seribu buat apa Harga jasa aplikasi gunanya apa Bikin tambah mahal,1,2022-10-14 08:54:51,4.48.1,negative,diskon ongkir ribu harga jasa aplikasi guna bikin mahal
Kelvin Pebrian,Tambahkan fitur tarik saldokek rekening bank,4,2022-08-29 00:34:36,4.48.1,positive,tambah fitur tarik saldokek rekening bank
Tuti Pahria,Ok,5,2023-08-19 23:26:06,4.72.1,positive,ok
Prabowo B,Bayar via gopay tansaksi berhasil tapi pihak merchant tidak menerima danaudah diemail di telponrespon nya leletudah seminggu duit saya 400k gak balik lebih enak jaman pak nadim,1,2022-11-29 07:37:05,4.56.1,negative,bayar via gopay tansaksi hasil merchant terima danaudah email telponrespon leletudah minggu duit jaman nadim
Nobhit Thew,Sip n bagus dan membantu bnget,5,2022-03-17 11:09:46,4.38.2,positive,sip bagus bantu bnget
Septiano Mulia,G ada bedanya milih pengantaran regular dan mode hemat semuanya samasama lama Yg kutau ada oknum driver dgn sengaja melamakan pesanan,2,2023-04-25 11:43:41,4.65.2,negative,beda milih antar regular mode hemat samasama tau oknum driver sengaja lama pesan
mohamed farom,Oke,5,2021-11-30 11:07:46,4.32.1,positive,oke
Raden Achmad Sofyan,Kereeeennnn,5,2022-02-01 05:29:56,4.34.1,positive,kereeeennnn
saymon saymon,Sangat2 membantu  trimakasih gojek,5,2022-08-03 13:03:30,4.48.1,positive,bantu trimakasih gojek
Bapak Putut,Gunakan Gojek untuk menyeledaikan masalah kita,5,2023-11-13 04:50:49,4.78.3,positive,gojek menyeledaikan
Wana Belantara,gojek sangat membatu buat kbutuhan kita disaat kita terdesak dgn wkt untuk bepergian atau brangkat kerja jg ktika butuh mknn selalu cepat dan tepat  sangat diandalkan Smoga sukses slalu,5,2022-06-14 14:09:22,4.45.1,positive,gojek batu kbutuhan saat desak wkt pergi brangkat jg ktika butuh mknn cepat andal smoga sukses slalu
Rifqi Naufal,Ini kenapa ya saya mesen gk dapet padahal g jauh amat,3,2022-09-19 09:13:58,4.50.1,neutral,mesen dapet
Shandy Mandela Simanjuntak,Ok,5,2022-12-09 05:58:49,4.57.1,positive,ok
Redy W Utomo,Oke,5,2022-09-24 01:32:18,4.52.2,positive,oke
Khafash Th,Gak bisa diubah metode pembayaranya bapuk,3,2023-01-29 13:36:04,4.60.1,neutral,ubah metode pembayaranya bapuk
Rizal Affandi,Ngaco akun di blokir tanpa sebap penyalah gunaan padahal klo order sesuai syarat Skip makin gk jelas voucher di ilangin semua  Akun di blokin gk jelas lahh,1,2022-03-03 07:10:37,4.38.2,negative,ngaco akun blokir bap salah guna order sesuai syarat skip voucher ilangin akun blokin lahh
demi orkid,Aplikasi ini makin parahgk akurat lokasi jemput dan tujuan Keluar dari akun gk bisa,1,2023-08-19 00:45:23,4.72.1,negative,aplikasi parahgk akurat lokasi jemput tuju akun
maryadi Bali,Mempermudah,5,2021-11-17 03:06:10,4.31.1,positive,mudah
Fitr Say,Oke,5,2023-04-14 08:37:43,4.65.2,positive,oke
Deborah Sinaga,Ok,5,2022-02-14 03:19:06,4.36.1,positive,ok
Sida Mulya Tool Abdul Muflih,Membantu ekonomi keluarga,5,2022-10-07 01:57:47,4.52.2,positive,bantu ekonomi keluarga
emelia terloit,Aku suka banget aplikasi gojek karena kalo GK ada makanan bisa pesan cepat pula,5,2022-04-18 20:19:29,4.41.1,positive,suka banget aplikasi gojek makan pesan cepat
wong jowo,Mantap jiwa,5,2023-10-29 06:08:37,4.77.1,positive,mantap jiwa
Syita Rahma Diyanti,Sangat membantu dan memudahkanthankyou,5,2023-07-23 08:30:12,4.70.1,positive,bantu memudahkanthankyou
Bisma 0966,Pasti semangatt,5,2021-11-28 05:28:45,4.32.1,positive,semangatt
farhan ilaik,Selama ini pake aplikasi lancar2 jasa mantap deh pokok nya Go food nya Rekomen banget  sampai tengah malam pun siap melayani,5,2022-04-14 17:46:07,4.40.1,positive,pake aplikasi lancar jasa mantap deh pokok go food rekomen banget tengah malam layan
Yuli Amalia,Good pelayanan,5,2022-02-16 09:52:42,4.34.1,positive,good layan
DHIPA KERTA,Merasa senang dengan adanya ojol ini,5,2021-11-23 06:20:28,4.31.1,positive,senang ojol
Muhammad Al,Niceeeee,5,2021-11-05 05:11:41,4.30.1,positive,niceeeee
Imron Rosadi,Gojek Bagus ,5,2021-11-18 00:42:04,4.31.1,positive,gojek bagus
ade irma,Bagus,5,2023-07-30 05:00:18,4.70.1,positive,bagus
Tanziilul Yogo,Goodjib,5,2022-06-07 11:26:17,4.44.1,positive,goodjib
Ricky Liudy,Makin buruk,1,2021-11-26 11:44:39,4.31.1,negative,buruk
Octavia Octa,Gojek mantap,5,2022-03-29 06:09:20,4.35.1,positive,gojek mantap
Kampus Sekolah,Bagus,5,2021-12-24 12:28:30,4.34.1,positive,bagus
Jae Cassette,Simpel,5,2022-01-09 13:25:44,4.34.1,positive,simpel
Fuad Adi Darma,Ya bagus,5,2021-11-19 05:55:21,4.31.1,positive,bagus
Andri Kurniawan,Mau log in juga ribet udah dikasih link untuk masuk tetap aja gabisa masuk,1,2023-04-08 15:13:49,4.64.2,negative,log in ribet kasih link aja gabisa
Susi Susilawatiiman,Kenapa ya saya gak bisa byar bpjs d go tagihansdh 2 hari di coba ttp gagal,3,2021-12-15 23:28:14,4.17.1,negative,byar bpjs go tagihansdh coba ttp gagal
Dani Rama,pokoke jooss utk pesan mknanpelayanannya bg n oksangat membantu bnyak org,4,2022-06-06 11:36:32,4.44.1,positive,pokoke jooss pesan mknanpelayanannya bg oksangat bantu bnyak
Agus Agus,Harga di gojek jauh trlalu mahal Yg asli harga 44k di gojek 56k Jauh si mnrtku Padahal mau pesennya dket seberang sini doang,2,2023-06-22 09:14:01,4.68.1,negative,harga gojek trlalu mahal asli harga gojek si mnrtku sen dket seberang doang
Alzaura Sopyan,Sangat membatu sekali,5,2021-11-16 04:05:18,4.30.1,positive,batu
Arie Yoga. T,Gojek selalu fast raspon,5,2022-06-08 08:24:54,4.45.1,positive,gojek fast raspon
Alam Aljafar,Akun punya istri saya tiba2 nama profil berubah jadi punya oranglapor di apk gojek gak ada penyelesaian,1,2021-11-27 02:01:08,4.32.1,negative,akun istri nama profil ubah oranglapor apk gojek selesai
Susi Lawati,Aman bisa dipercaya,5,2024-02-01 04:09:59,4.81.2,positive,aman percaya
Andy Chen,baik ramah sopan,5,2023-01-23 12:22:48,4.48.1,positive,ramah sopan
Lutfi Yahya,Maksih akun penipu telah diblok gw kaget anjir ditelpon wkwk,5,2022-06-07 08:29:48,4.43.3,positive,maksih akun tipu blok kaget anjir telpon haha
Anwarsyah Malewa,Pelayanan gojek sangat bagus dan amanah,5,2022-04-15 09:26:43,4.40.1,positive,layan gojek bagus amanah
Hamida Tambunan,Sangat bagus,4,2021-11-07 22:53:03,4.31.1,positive,bagus
Azzam Faiz Rizqullah,Kitu weh,5,2023-11-29 14:55:05,4.79.1,positive,kitu weh
Sabrina Putri,Kecewa,1,2022-08-01 18:16:35,4.48.1,negative,kecewa
Randy Ifyan hansel,Muda di pesan makanan apa yang ku mau langsung datang dengan cepat dan waktu mengantarkan makanan sngt tepat waktu,5,2023-09-06 04:28:40,4.70.1,positive,muda pesan makan ku cepat waktu antar makan sngt waktu
Nisa Isti,Baguss,5,2023-03-07 11:19:38,4.62.1,positive,baguss
Apoet Scoot,Nyaman dan jadi cepat perjalanan,5,2022-03-04 03:56:58,4.38.2,positive,nyaman cepat jalan
Hermin Putri,Ok,5,2022-06-13 02:01:15,4.35.1,positive,ok
Houw sun sang sanun,Terima kasih Gojek,5,2021-12-13 07:19:01,4.33.1,positive,terima kasih gojek
Rechii Keyzan,Pelayanan tidak maksimal juga pengguna susah untuk mengadu transaksi yg belum di proses Transfer ke bank BNI aja lama sekali sudah semalaman saya menunggu tp tidak masuk2 Apa2an kita kan perlu uang yg kita punya jika harus menunggu 2x24 jam baru bisa lapos Develover tolong hindari penundaan transaksi,1,2023-05-19 02:24:02,4.66.1,negative,layan maksimal guna susah adu transaksi proses transfer bank bni aja malam tunggu uang tunggu jam lapos develover tolong hindar tunda transaksi
Ongen Akun,Di rekomendasi nih bagus banget,5,2021-12-17 04:45:06,4.33.1,positive,rekomendasi nih bagus banget
flyby Tom,Opsi utk alamat selalu berubah,3,2022-01-29 13:14:59,4.17.2,negative,opsi alamat ubah
firda muchliza,Mantap,5,2022-07-15 09:44:33,4.47.1,positive,mantap
Sinta,Setiap mau memesan gofood selalu ada tampilan Hmm kami mendeteksi pemakaian tidak bisa itu kenapa ya selalu gitu ga cuma gofood tapi semua fitur yang ada di gojek tolong jelaskan min,3,2021-12-17 23:41:23,4.33.1,neutral,mes gofood tampil hmm deteksi pakai gitu gofood fitur gojek tolong min
Ruswan RM,Ok,5,2022-04-05 23:32:14,4.40.1,positive,ok
Mangara Silabalaba,Kukuruyuk,1,2023-10-04 08:27:38,4.65.2,negative,kukuruyuk
H. A.,Banyakin promo dong hihi kasih murah dari aplikasi sebelah,4,2023-09-21 06:55:53,4.74.3,positive,banyakin promo haha kasih murah aplikasi belah
Ahmad Sujai,Draeverny ramah,5,2023-07-20 15:47:51,4.69.2,positive,draeverny ramah
Habib Khairul,Mantap promonya,5,2022-06-20 14:26:54,4.45.1,positive,mantap promonya
Nur Afiatussuhaibah,Ok,5,2022-10-31 23:49:17,4.47.1,positive,ok
Marco Putu,Semoga gojek tambah maju,5,2022-08-26 11:02:44,4.38.2,positive,moga gojek maju
Jessica Riyadi,Sangat membantu sering diskon,5,2022-02-27 11:17:07,4.28.4,positive,bantu diskon
Agus Muhammad,Gojek gak Berubah Selalu memilih Driver yang lokasinya jauh dari titik penjemputan  lokasi Resto Kalau seperti ini kasihan drivernya juga kasihan customernya Ayolah diperbaiki lebih Okey lagi,5,2023-05-03 05:37:39,4.66.1,positive,gojek ubah pilih driver lokasi titik jemput lokasi resto kasihan drivernya kasihan customernya ayo baik okey
"Nurleila, SMKN 1 BANDA ACEH",Nyaman,5,2021-12-29 00:45:36,4.29.1,positive,nyaman
Pengguna Google,Dapat vocer alfamart tp tidak bisa dipakaiAplikasi sdh yg terupdate Huft,3,2021-12-22 11:19:23,4.34.1,neutral,vocer alfamart dipakaiaplikasi sdh terupdate huft
men co,Ok,5,2021-12-10 11:44:52,4.32.1,positive,ok
محمد فحري,Murah dan cepat,5,2022-04-30 11:22:42,4.42.2,positive,murah cepat
BANG ZUL,Gapernh dapet diskon 50 gopay,1,2022-08-21 00:36:48,4.50.1,negative,gapernh dapet diskon gopay
Gerda Kawaitouw,On time,5,2023-01-20 05:22:07,4.59.1,positive,on time
Lani Lono,ok,5,2022-08-15 22:12:51,4.41.1,positive,ok
Yusi Aprianti,Good,5,2022-02-18 06:24:37,4.36.1,positive,good
Mariana,Good,5,2022-03-13 06:30:52,4.34.1,positive,good
Kartika Setiawati,Good,5,2022-06-10 08:07:30,4.44.1,positive,good
ahmad chamami,Good job,5,2022-07-06 09:49:33,4.46.2,positive,good job
muthamimah wahab,Layanan gojek bagus cepat,5,2022-08-04 05:42:33,4.48.1,positive,layan gojek bagus cepat
arneto2021,Sy menggunakan aplikasi ini tiap kali memesan mkanan dr Jakarta utk Ortu sy di Manado Dan semua lancar sprti yg diharapkan Top ,5,2023-12-31 05:53:39,4.80.4,positive,aplikasi mes mkanan jakarta ortu manado lancar sprti harap top
wibi andika,Ini gimana ya masa transfer dari saldo ke rekening harus nunggu 2 3 hari Ga praktis dana ngendep lama bgt ga ada respon jg,1,2022-09-16 15:06:09,4.51.1,negative,gimana transfer saldo rekening nunggu praktis dana ngendep banget respon jg
ratna jayanti,Suka bgt pake gojek Driver nya ramah2,5,2021-12-01 00:35:02,4.32.1,positive,suka banget pake gojek driver ramah
Pengguna Google,Ongkos makin lama makin mahalbagus tetangga sebelah,1,2022-03-11 15:58:03,4.36.1,negative,ongkos mahalbagus tetangga belah
Mahmud Fadil,Bagus,5,2022-10-03 07:05:04,4.52.2,positive,bagus
Syukran Hamdan,Mantap,5,2023-04-29 16:58:26,4.66.1,positive,mantap
Uut Uut,Ok,5,2022-04-11 13:06:59,4.19.3,positive,ok
hertina putra,Banyak promonya,5,2022-03-20 10:34:40,4.39.2,positive,promonya
BiLLy Rahada (GOBEL),Bila pesan makanan Terlalu lama mendapatkan driver sehingga makanan di restoran sudah siap tapi driver belum juga dapat kebijakan yang menyusahkan pelanggan Terlalu memilih memilih driver ,1,2023-03-02 12:00:37,4.49.2,negative,pesan makan driver makan restoran driver bijak susah langgan pilih pilih driver
Rubi Yanti,Bagus,5,2022-07-30 03:49:16,4.40.1,positive,bagus
